num_nodes,num_edges,density,avg_degree,max_degree,avg_clustering,diameter,degree_mean,degree_std,degree_max,betweenness_mean,betweenness_std,betweenness_max,closeness_mean,closeness_std,closeness_max,eigenvector_mean,eigenvector_std,eigenvector_max,graph_id
71,78,0.031388329979879274,2.1971830985915495,34,0.02819412015766614,10,0.03138832997987927,0.056719747356735406,0.4857142857142857,0.03699880442072726,0.10796238540379843,0.8332643202208421,0.29671264376968115,0.06407938412521294,0.5072463768115942,0.07546292461739597,0.0915961464824953,0.6935329234001211,0
137,203,0.021790468012022328,2.9635036496350367,25,0.04112400810441533,9,0.021790468012022328,0.02774655899285392,0.1838235294117647,0.02073294849164321,0.043829838137088316,0.262687558479182,0.27136014512691653,0.046868564279502846,0.4035608308605341,0.05428628288498341,0.06597173306442887,0.3642046998819494,1
128,440,0.054133858267716536,6.875,79,0.3993627209673118,6,0.05413385826771652,0.08678736264049408,0.6220472440944882,0.012643927321584803,0.049738598710987576,0.33326035047550656,0.39909059815960063,0.07119056457612413,0.6414141414141414,0.06055599488830963,0.06438533593208176,0.37392173449430716,2
99,173,0.03566274994846423,3.494949494949495,59,0.2575327304441946,6,0.03566274994846423,0.06363980593876213,0.6020408163265306,0.01733089361955341,0.08061106092147229,0.7890568696796343,0.3846958737020285,0.06735042967148928,0.7,0.07097773776633647,0.07115596139877021,0.6180331581831124,3
77,207,0.07074504442925496,5.376623376623376,54,0.4418521767128269,5,0.07074504442925494,0.10483591870317581,0.7105263157894737,0.01669172932330827,0.07171465707422818,0.5271556017082334,0.45454950181440046,0.07016293555931766,0.7676767676767676,0.08593735102315431,0.07484507122139805,0.45670008948347085,4
38,43,0.06116642958748222,2.263157894736842,36,0.2098997493734336,3,0.06116642958748224,0.1513315637499658,0.972972972972973,0.0273431326062905,0.15719992253130655,0.9819819819819819,0.5117171016524938,0.08000379652949705,0.9736842105263158,0.13199539460816956,0.09430273207027368,0.6907151049004451,5
83,242,0.07111372318542462,5.831325301204819,66,0.45446089340303963,5,0.07111372318542462,0.10538049245271172,0.8048780487804879,0.014671150727571532,0.06934733163773389,0.6172093325718748,0.4665446025078366,0.06802495540107861,0.8282828282828283,0.08461243378253186,0.06992087542702108,0.4806658808694051,6
34,56,0.09982174688057041,3.2941176470588234,17,0.20398860078790876,5,0.0998217468805704,0.1045937297838189,0.5151515151515151,0.048351158645276296,0.11441626498302639,0.5586963383838385,0.4063247536095709,0.07826152435772638,0.6470588235294118,0.13078621198985513,0.11093570867501153,0.5018620239902657,7
19,22,0.1286549707602339,2.3157894736842106,9,0.0,6,0.1286549707602339,0.11263953382607148,0.5,0.10904712762297901,0.18109601087174343,0.7091503267973857,0.3660506656895478,0.07723679642169584,0.5625,0.1857798310872428,0.13460101525829576,0.569123769455778,8
27,42,0.11965811965811966,3.111111111111111,16,0.2768759018759019,4,0.11965811965811966,0.13541008134833216,0.6153846153846154,0.053675213675213676,0.1285799648606913,0.6258974358974361,0.44257691228718654,0.0894545141629764,0.7222222222222222,0.14896834064443637,0.121841989981616,0.4928647108225912,9
